name1	name2	citations
Leitch,A	Schnable,P	1
Leitch,A	Macas,J	6
Leitch,A	Fulnecek,J	1
Leitch,A	Leitch,I	2
Leitch,A	Pancholi,M	1
Leitch,A	Ainouche,M	1
Leitch,A	Renny-Byfield,S	10
Leitch,A	Chase,M	2
Leitch,A	Soltis,P	1
Leitch,A	Kovarik,A	5
Leitch,A	Grandbastien,M	3
Leitch,A	Koukalova,B	1
Leitch,A	Viccini,L	1
Leitch,A	Pellicer,J	2
Leitch,A	Novák,P	2
Leitch,A	Chester,M	3
Leitch,A	LeComber,S	2
Leitch,A	Buggs,R	1
Leitch,A	Matyasek,R	2
Leitch,A	Lysak,M	1
Leitch,A	Day,P	1
Leitch,A	Lim,K	1
Leitch,A	Neumann,P	1
Leitch,A	Chamala,S	1
Leitch,A	Barbazuk,W	1
Leitch,A	Kovařík,A	1
Leitch,A	Jordan-Thaden,I	1
Leitch,A	Novak,P	2
Leitch,A	Soltis,D	1
Leitch,A	Berger,M	1
Leitch,A	Kelly,L	3
Leitch,A	Deloger,M	1
Leitch,A	Moraes,A	1
Leitch,A	Fay,M	2
Leitch,A	Nichols,R	4
Wang,X	Page,J	1
Wang,X	Paterson,A	1
Wang,X	Szadkowski,E	1
Wang,X	Renny-Byfield,S	1
Wang,X	Grover,C	1
Wang,X	Gallagher,J	1
Wang,X	Udall,J	1
Wang,X	Wendel,J	1
Schnable,P	Chamala,S	1
Schnable,P	Leitch,A	1
Schnable,P	Barbazuk,W	1
Schnable,P	Viccini,L	1
Schnable,P	Jordan-Thaden,I	1
Schnable,P	Renny-Byfield,S	1
Schnable,P	Chester,M	1
Schnable,P	Buggs,R	1
Schnable,P	Soltis,D	1
Schnable,P	Soltis,P	1
Macas,J	Leitch,A	6
Macas,J	Fulnecek,J	1
Macas,J	Leitch,I	1
Macas,J	Kovařík,A	1
Macas,J	Pancholi,M	1
Macas,J	Renny-Byfield,S	6
Macas,J	Chase,M	2
Macas,J	Novak,P	2
Macas,J	Berger,M	1
Macas,J	Grandbastien,M	3
Macas,J	Kovarik,A	3
Macas,J	Kelly,L	3
Macas,J	Deloger,M	1
Macas,J	Fay,M	2
Macas,J	Nichols,R	4
Macas,J	Pellicer,J	2
Macas,J	Novák,P	2
Macas,J	LeComber,S	1
Macas,J	Chester,M	2
Macas,J	Matyasek,R	1
Macas,J	Day,P	1
Macas,J	Lysak,M	1
Macas,J	Neumann,P	1
Fulnecek,J	Nichols,R	1
Fulnecek,J	Renny-Byfield,S	1
Fulnecek,J	Leitch,A	1
Fulnecek,J	Macas,J	1
Fulnecek,J	Matyasek,R	1
Fulnecek,J	Kovarik,A	1
Fulnecek,J	Grandbastien,M	1
Leitch,I	Leitch,A	2
Leitch,I	Kelly,L	1
Leitch,I	Macas,J	1
Leitch,I	Fay,M	1
Leitch,I	Ainouche,M	1
Leitch,I	Renny-Byfield,S	2
Leitch,I	Pellicer,J	1
Leitch,I	LeComber,S	1
Leitch,I	Lim,K	1
Pancholi,M	Leitch,A	1
Pancholi,M	Kelly,L	1
Pancholi,M	Macas,J	1
Pancholi,M	Nichols,R	1
Pancholi,M	Renny-Byfield,S	1
Pancholi,M	Chase,M	1
Pancholi,M	Novak,P	1
Pancholi,M	Grandbastien,M	1
Pancholi,M	Kovarik,A	1
Szadkowski,E	Wang,X	1
Szadkowski,E	Page,J	1
Szadkowski,E	Paterson,A	1
Szadkowski,E	Renny-Byfield,S	1
Szadkowski,E	Grover,C	1
Szadkowski,E	Gallagher,J	1
Szadkowski,E	Udall,J	1
Szadkowski,E	Wendel,J	1
Renny-Byfield,S	Leitch,A	10
Renny-Byfield,S	Wang,X	1
Renny-Byfield,S	Schnable,P	1
Renny-Byfield,S	Macas,J	6
Renny-Byfield,S	Fulnecek,J	1
Renny-Byfield,S	Leitch,I	2
Renny-Byfield,S	Pancholi,M	1
Renny-Byfield,S	Szadkowski,E	1
Renny-Byfield,S	Ainouche,M	1
Renny-Byfield,S	Gallagher,J	3
Renny-Byfield,S	Chase,M	2
Renny-Byfield,S	Soltis,P	1
Renny-Byfield,S	Kovarik,A	5
Renny-Byfield,S	Grandbastien,M	3
Renny-Byfield,S	Koukalova,B	1
Renny-Byfield,S	Viccini,L	1
Renny-Byfield,S	Pellicer,J	2
Renny-Byfield,S	Novák,P	2
Renny-Byfield,S	Chester,M	3
Renny-Byfield,S	LeComber,S	2
Renny-Byfield,S	Buggs,R	1
Renny-Byfield,S	Matyasek,R	2
Renny-Byfield,S	Jareczek,J	1
Renny-Byfield,S	Lysak,M	1
Renny-Byfield,S	Day,P	1
Renny-Byfield,S	Lim,K	1
Renny-Byfield,S	Neumann,P	1
Renny-Byfield,S	Chamala,S	1
Renny-Byfield,S	Masonbrink,R	2
Renny-Byfield,S	Barbazuk,W	1
Renny-Byfield,S	Page,J	1
Renny-Byfield,S	Jordan-Thaden,I	1
Renny-Byfield,S	Kovařík,A	1
Renny-Byfield,S	Udall,J	1
Renny-Byfield,S	Soltis,D	1
Renny-Byfield,S	Novak,P	2
Renny-Byfield,S	Berger,M	1
Renny-Byfield,S	Kelly,L	3
Renny-Byfield,S	Gong,L	3
Renny-Byfield,S	Deloger,M	1
Renny-Byfield,S	Moraes,A	1
Renny-Byfield,S	Paterson,A	1
Renny-Byfield,S	Fay,M	2
Renny-Byfield,S	Nichols,R	4
Renny-Byfield,S	Grover,C	3
Renny-Byfield,S	Wendel,J	5
Ainouche,M	Renny-Byfield,S	1
Ainouche,M	Leitch,A	1
Ainouche,M	LeComber,S	1
Ainouche,M	Leitch,I	1
Ainouche,M	Lim,K	1
Gallagher,J	Wang,X	1
Gallagher,J	Gong,L	2
Gallagher,J	Masonbrink,R	1
Gallagher,J	Page,J	1
Gallagher,J	Paterson,A	1
Gallagher,J	Szadkowski,E	1
Gallagher,J	Renny-Byfield,S	3
Gallagher,J	Grover,C	2
Gallagher,J	Udall,J	1
Gallagher,J	Jareczek,J	1
Gallagher,J	Wendel,J	3
Chase,M	Leitch,A	2
Chase,M	Kelly,L	1
Chase,M	Macas,J	2
Chase,M	Deloger,M	1
Chase,M	Kovařík,A	1
Chase,M	Pancholi,M	1
Chase,M	Nichols,R	2
Chase,M	Renny-Byfield,S	2
Chase,M	Novák,P	1
Chase,M	Chester,M	1
Chase,M	LeComber,S	1
Chase,M	Novak,P	1
Chase,M	Grandbastien,M	2
Chase,M	Kovarik,A	1
Soltis,P	Chamala,S	1
Soltis,P	Leitch,A	1
Soltis,P	Schnable,P	1
Soltis,P	Barbazuk,W	1
Soltis,P	Viccini,L	1
Soltis,P	Jordan-Thaden,I	1
Soltis,P	Renny-Byfield,S	1
Soltis,P	Chester,M	1
Soltis,P	Buggs,R	1
Soltis,P	Soltis,D	1
Kovarik,A	Leitch,A	5
Kovarik,A	Kelly,L	1
Kovarik,A	Macas,J	3
Kovarik,A	Fulnecek,J	1
Kovarik,A	Koukalova,B	1
Kovarik,A	Moraes,A	1
Kovarik,A	Pancholi,M	1
Kovarik,A	Nichols,R	3
Kovarik,A	Renny-Byfield,S	5
Kovarik,A	Chester,M	1
Kovarik,A	Chase,M	1
Kovarik,A	Novak,P	2
Kovarik,A	Matyasek,R	2
Kovarik,A	Grandbastien,M	2
Grandbastien,M	Leitch,A	3
Grandbastien,M	Macas,J	3
Grandbastien,M	Fulnecek,J	1
Grandbastien,M	Kovařík,A	1
Grandbastien,M	Pancholi,M	1
Grandbastien,M	Renny-Byfield,S	3
Grandbastien,M	Chase,M	2
Grandbastien,M	Novak,P	1
Grandbastien,M	Kovarik,A	2
Grandbastien,M	Kelly,L	1
Grandbastien,M	Deloger,M	1
Grandbastien,M	Nichols,R	3
Grandbastien,M	Novák,P	1
Grandbastien,M	LeComber,S	1
Grandbastien,M	Chester,M	1
Grandbastien,M	Matyasek,R	1
Viccini,L	Chamala,S	1
Viccini,L	Leitch,A	1
Viccini,L	Schnable,P	1
Viccini,L	Barbazuk,W	1
Viccini,L	Jordan-Thaden,I	1
Viccini,L	Renny-Byfield,S	1
Viccini,L	Chester,M	1
Viccini,L	Buggs,R	1
Viccini,L	Soltis,D	1
Viccini,L	Soltis,P	1
Koukalova,B	Renny-Byfield,S	1
Koukalova,B	Leitch,A	1
Koukalova,B	Moraes,A	1
Koukalova,B	Matyasek,R	1
Koukalova,B	Kovarik,A	1
Pellicer,J	Leitch,A	2
Pellicer,J	Kelly,L	2
Pellicer,J	Macas,J	2
Pellicer,J	Leitch,I	1
Pellicer,J	Fay,M	2
Pellicer,J	Renny-Byfield,S	2
Pellicer,J	Novák,P	1
Pellicer,J	Berger,M	1
Pellicer,J	Day,P	1
Pellicer,J	Lysak,M	1
Pellicer,J	Neumann,P	1
Novák,P	Leitch,A	2
Novák,P	Macas,J	2
Novák,P	Kovařík,A	1
Novák,P	Renny-Byfield,S	2
Novák,P	Chase,M	1
Novák,P	Berger,M	1
Novák,P	Grandbastien,M	1
Novák,P	Kelly,L	1
Novák,P	Deloger,M	1
Novák,P	Fay,M	1
Novák,P	Nichols,R	1
Novák,P	Pellicer,J	1
Novák,P	Chester,M	1
Novák,P	LeComber,S	1
Novák,P	Day,P	1
Novák,P	Lysak,M	1
Novák,P	Neumann,P	1
Chester,M	Chamala,S	1
Chester,M	Leitch,A	3
Chester,M	Schnable,P	1
Chester,M	Macas,J	2
Chester,M	Barbazuk,W	1
Chester,M	Jordan-Thaden,I	1
Chester,M	Kovařík,A	1
Chester,M	Renny-Byfield,S	3
Chester,M	Chase,M	1
Chester,M	Soltis,D	1
Chester,M	Novak,P	1
Chester,M	Grandbastien,M	1
Chester,M	Kovarik,A	1
Chester,M	Soltis,P	1
Chester,M	Deloger,M	1
Chester,M	Viccini,L	1
Chester,M	Nichols,R	2
Chester,M	Novák,P	1
Chester,M	LeComber,S	1
Chester,M	Buggs,R	1
LeComber,S	Leitch,A	2
LeComber,S	Macas,J	1
LeComber,S	Deloger,M	1
LeComber,S	Leitch,I	1
LeComber,S	Kovařík,A	1
LeComber,S	Nichols,R	1
LeComber,S	Ainouche,M	1
LeComber,S	Renny-Byfield,S	2
LeComber,S	Novák,P	1
LeComber,S	Chester,M	1
LeComber,S	Chase,M	1
LeComber,S	Lim,K	1
LeComber,S	Grandbastien,M	1
Buggs,R	Chamala,S	1
Buggs,R	Leitch,A	1
Buggs,R	Schnable,P	1
Buggs,R	Barbazuk,W	1
